date,config,expected_uncovered,cvar_uncovered,expected_demand,cvar_demand,units,districts_served,want_pompa,want_truk
2015-04-22,B3,16216463,17105906,16415907,17497874,95,12,261,6892
2015-04-23,B0,16538935,17583258,16538935,17583258,0,0,283,6892
2015-04-23,B1,16352901,17380924,16538935,17583258,95,30,283,6892
2015-04-23,B2,16367635,17399924,16538935,17583258,95,34,283,6892
2015-04-23,B3,16362660,17277157,16538935,17583258,95,15,283,6892
2015-04-24,B0,17224737,18134389,17224737,18134389,0,0,453,6892
2015-04-24,B1,17011037,17901056,17224737,18134389,95,14,453,6892
2015-04-24,B2,17020937,17899389,17224737,18134389,95,15,453,6892
2015-04-24,B3,17008164,17726773,17224737,18055590,95,12,453,6892
2015-04-25,B0,16960511,17912904,16960511,17912904,0,0,387,6892
2015-04-25,B1,16759011,17692942,16960511,17911276,95,16,387,6892
2015-04-25,B2,16774544,17717276,16960511,17911276,95,17,387,6892
2015-04-25,B3,16767801,17536073,16960511,17912904,95,14,387,6892
2015-04-26,B0,17002957,17819036,17002957,17819036,0,0,422,6892
2015-04-26,B1,16798824,17598036,17002957,17819036,95,16,422,6892
2015-04-26,B2,16813757,17601036,17002957,17819036,95,17,422,6892
2015-04-26,B3,16804094,17415505,17002957,17819036,95,13,422,6892
2015-04-27,B0,16752863,17974698,16752863,17974698,0,0,298,6892
2015-04-27,B1,16573463,17753698,16752863,17974698,95,27,298,6892
2015-04-27,B2,16585263,17764698,16752863,17974698,95,31,298,6892
2015-04-27,B3,16562552,17611423,16752863,17974698,95,14,298,6892
2015-04-28,B0,16486619,17399420,16486619,17399420,0,0,258,6892
2015-04-28,B1,16314485,17221087,16486619,17399420,95,30,258,6892
2015-04-28,B2,16330752,17237420,16486619,17399420,95,35,258,6892
2015-04-28,B3,16301463,17042568,16486619,17399420,95,15,258,6892
2015-04-29,B0,15924975,16613575,15924975,16613575,0,0,144,6892
2015-04-29,B1,15769541,16437908,15924975,16613575,83,27,144,6892
2015-04-29,B2,15785541,16448242,15924975,16613575,83,34,144,6892
2015-04-29,B3,15743714,16351447,15924975,16593129,95,16,144,6892
2015-04-30,B0,15972829,16848981,15972829,16848981,0,0,146,6892
2015-04-30,B1,15817696,16689314,15972829,16848981,79,25,146,6892
2015-04-30,B2,15831696,16699647,15972829,16848981,79,31,146,6892
2015-04-30,B3,15796387,16623816,15972829,16848981,91,12,146,6892
2015-05-01,B0,15601143,16459239,15601143,16459239,0,0,66,6892
2015-05-01,B1,15448710,16307572,15601143,16459239,68,12,66,6892
2015-05-01,B2,15457577,16319906,15601143,16459239,68,16,66,6892
2015-05-01,B3,15436163,16235572,15601143,16459239,71,8,66,6892
